t_start_ms,t_end_ms,duration_ms,peak_ua,mean_ua,energy_total_uj,energy_marginal_uj,type
8683.0,8685.0,3,1384.943,1222.4183333333333,11.001764999999999,3.428660999999999,inference
8703.0,8711.0,9,3283.189,1857.7691111111114,50.159766000000005,27.440454,inference
8723.0,8724.0,2,1375.834,1305.634,7.833804000000001,2.7850680000000003,inference
8741.0,8746.0,6,3388.225,2015.722,36.282996,21.136787999999996,inference
8763.0,8765.0,3,1355.79,1202.5886666666668,10.823298000000001,3.2501939999999996,inference
8779.0,8785.0,7,2940.782,1704.4232857142856,35.792888999999995,18.122313000000002,inference
8803.0,8804.0,2,1398.973,1323.7995,7.9427970000000006,2.8940609999999998,inference
8811.0,8816.0,6,3032.913,1886.5873333333332,33.958572000000004,18.812364000000002,inference
8823.0,8825.0,3,1362.173,1202.051,10.818458999999999,3.2453549999999995,inference
8843.0,8845.0,3,1382.346,1215.959,10.943631000000002,3.370527,inference
8848.0,8853.0,6,3052.223,1978.9375,35.620875,20.474666999999997,inference
8863.0,8864.0,2,1402.199,1322.883,7.937298000000001,2.888562,inference
8881.0,8888.0,8,3794.544,2175.3272500000003,52.207854000000005,32.01291,inference
8903.0,8905.0,3,1387.852,1214.293,10.928636999999998,3.355533,inference
8919.0,8925.0,7,3083.202,1871.1978571428572,39.295155,21.624579,inference
8938.0,8949.0,12,8295.708,5481.40375,197.330535,167.03811899999997,ble
8953.0,8969.0,17,8384.669,4566.641117647059,232.89869700000003,189.98444100000003,ble
8978.0,9033.0,56,9829.618,4497.160839285714,755.523021,614.1584130000001,ble
9038.0,9049.0,12,8361.945,5477.031583333333,197.173137,166.880721,ble
9058.0,9069.0,12,10024.661,5944.766666666666,214.0116,183.71918399999998,ble
9078.0,9089.0,12,8400.091,5482.138500000001,197.35698600000003,167.06457,ble
9098.0,9109.0,12,9635.554,5858.908583333334,210.92070900000004,180.62829300000004,ble
9118.0,9129.0,12,8366.385,5467.672583333334,196.83621300000004,166.543797,ble
9133.0,9149.0,17,8340.963,4494.250647058824,229.20678300000006,186.292527,ble
9163.0,9170.0,8,2750.874,1553.9791249999998,37.295499,17.100555,inference
9183.0,9185.0,3,1388.433,1230.2586666666668,11.072328000000002,3.499224,inference
9200.0,9206.0,7,3866.353,2078.930857142858,43.65754800000001,25.986972,inference
9223.0,9225.0,3,1374.714,1216.2896666666666,10.946607,3.3735029999999995,inference
9233.0,9237.0,5,2921.493,1789.6124,26.844186,14.222345999999998,inference
9243.0,9245.0,3,1398.462,1231.9256666666668,11.087331,3.5142270000000004,inference
9263.0,9265.0,3,1359.369,1211.8743333333332,10.906868999999999,3.333764999999999,inference
9268.0,9272.0,5,2787.388,1768.6689999999999,26.530034999999998,13.908195,inference
9283.0,9285.0,3,1388.568,1220.1056666666666,10.980951,3.407847,inference
9300.0,9306.0,7,3389.027,1906.9315714285713,40.045562999999994,22.374987,inference
9323.0,9325.0,3,1365.899,1214.4403333333335,10.929963000000003,3.356859,inference
9338.0,9345.0,8,2681.409,1591.73875,38.20173,18.006786,inference
9363.0,9365.0,3,1409.057,1269.5763333333334,11.426187000000002,3.853083,inference
9372.0,9377.0,6,2966.98,1878.2891666666667,33.809205000000006,18.662997000000004,inference
9383.0,9385.0,3,1320.274,1204.2753333333333,10.838477999999999,3.265374,inference
9403.0,9413.0,11,3467.404,1658.9557272727272,54.745539,26.977490999999997,inference
9423.0,9425.0,3,1415.306,1227.8703333333335,11.050833,3.477729,inference
9438.0,9445.0,8,3653.948,2018.51375,48.44433,28.249385999999998,inference
9463.0,9465.0,3,1399.64,1228.8300000000002,11.059470000000001,3.486366,inference
9471.0,9477.0,7,3411.477,1777.690857142857,37.331508,19.660932000000003,inference
9483.0,9485.0,3,1420.679,1226.933,11.042397000000001,3.4692930000000004,inference
9502.0,9506.0,5,3298.479,1987.8366,29.817549000000003,17.195709000000004,inference
9523.0,9525.0,3,1401.879,1223.2956666666666,11.009661,3.436556999999999,inference
9533.0,9539.0,7,3319.176,1945.3977142857143,40.853352,23.182775999999997,inference
9543.0,9545.0,3,1371.318,1216.4846666666665,10.948362,3.375258,inference
9563.0,9565.0,3,1401.496,1225.0646666666669,11.025582000000002,3.452478,inference
9571.0,9576.0,6,3215.886,1865.9601666666667,33.587283000000006,18.441074999999998,inference
9583.0,9585.0,3,1402.903,1227.3326666666667,11.045994,3.4728899999999996,inference
9603.0,9608.0,6,3307.502,2061.453666666667,37.10616600000001,21.959958,inference
9623.0,9625.0,3,1413.349,1233.368333333333,11.100314999999998,3.527210999999999,inference
9636.0,9645.0,10,3400.299,1766.1856,52.985568,27.741887999999996,inference
9663.0,9665.0,3,1380.026,1223.3516666666667,11.010165,3.437061,inference
9671.0,9677.0,7,3610.723,2016.1314285714284,42.33875999999999,24.668183999999997,inference
9683.0,9685.0,3,1401.079,1235.3033333333333,11.11773,3.5446259999999996,inference
9703.0,9708.0,6,2826.791,1831.622,32.969196,17.822988,inference
9723.0,9725.0,3,1382.408,1222.3796666666667,11.001417000000002,3.4283129999999993,inference
9734.0,9738.0,5,2768.531,1761.4008,26.421011999999994,13.799172,inference
9743.0,9745.0,3,1408.208,1229.249,11.063241000000001,3.4901370000000007,inference
9763.0,9765.0,3,1368.214,1212.8896666666667,10.916007,3.3429029999999997,inference
9768.0,9774.0,7,3093.39,1737.0942857142854,36.47898,18.808403999999996,inference
9783.0,9785.0,3,1389.745,1220.819,10.987371,3.414266999999999,inference
9801.0,9806.0,6,3924.264,2061.5938333333334,37.108689,21.962481,inference
9823.0,9825.0,3,1375.813,1217.3660000000002,10.956294000000002,3.38319,inference
9834.0,9839.0,6,2821.544,1719.6973333333333,30.954551999999996,15.808343999999998,inference
9843.0,9845.0,3,1412.184,1229.16,11.06244,3.4893359999999993,inference
9863.0,9865.0,3,1412.914,1222.6663333333333,11.003997,3.4308929999999997,inference
9870.0,9875.0,6,3076.064,1861.9891666666665,33.515805,18.369596999999995,inference
9883.0,9885.0,3,1381.507,1217.784,10.960056000000002,3.3869520000000004,inference
9903.0,9905.0,3,1424.974,1234.5310000000002,11.110779,3.5376749999999997,inference
9909.0,9915.0,7,3367.078,1776.2441428571426,37.301126999999994,19.630551,inference
9923.0,9925.0,3,1424.435,1225.3603333333333,11.028243,3.455138999999999,inference
9943.0,9949.0,7,3312.675,1904.5282857142859,39.995094,22.324517999999998,inference
9963.0,9965.0,3,1399.529,1236.5876666666666,11.129289000000002,3.556185,inference
9976.0,9985.0,10,3280.399,1615.5208,48.465624000000005,23.221944,inference
10003.0,10004.0,2,1386.787,1318.2195000000002,7.9093170000000015,2.8605810000000003,inference
10010.0,10016.0,7,2769.611,1660.9795714285715,34.880570999999996,17.209995,inference
10023.0,10025.0,3,1355.32,1230.1499999999999,11.071349999999999,3.4982459999999995,inference
